path,domain,line_count,classification,merge_target,reason,risk,referenced_by
src/engine/dsp/MixerFilterCoefficients.cpp,Deck DSP / Mixer,50,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/MixerDspSource.h
src/engine/dsp/MixerFilterCoefficients.h,Deck DSP / Mixer,40,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/MixerDspSource.h;src/engine/dsp/MixerFilterCoefficients.cpp
src/engine/dsp/ScratchDeckBridge.cpp,Scratch,376,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/ScratchDeckBridge.hpp;src/engine/facade/FacadeIncludes.h;src/engine/scratch/ScratchSession.cpp;src/engine/scratch/ScratchSession.hpp
src/engine/dsp/ScratchDeckBridge.hpp,Scratch,112,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/facade/FacadeIncludes.h;src/engine/scratch/ScratchSession.cpp;src/engine/scratch/ScratchSession.hpp
src/engine/dsp/ScratchResampler.cpp,Scratch,378,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/ScratchDeckBridge.hpp;src/engine/dsp/ScratchResampler.hpp
src/engine/dsp/ScratchResampler.hpp,Scratch,97,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/ScratchDeckBridge.hpp;src/engine/dsp/ScratchResampler.cpp
src/engine/dsp/TimeStretchAudioSource.cpp,Time-Stretch,331,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/TimeStretchAudioSource.h;src/engine/facade/FacadeIncludes.h
src/engine/dsp/TimeStretchAudioSource.h,Time-Stretch,114,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/TimeStretchAudioSource.cpp;src/engine/facade/FacadeIncludes.h
src/engine/facade/Core.cpp,Application,838,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/WelcomeScreen.qml
src/engine/facade/CueLoop.cpp,Application,1122,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/engine/facade/Diagnostics.cpp,Application,211,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/engine/facade/FacadeIncludes.h,Application,47,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/facade/Core.cpp;src/engine/facade/CueLoop.cpp;src/engine/facade/Diagnostics.cpp;src/engine/facade/Fx.cpp;src/engine/facade/Scratch.cpp;src/engine/facade/Settings.cpp;src/engine/facade/Sync.cpp;src/engine/facade/Transport.cpp
src/engine/facade/Fx.cpp,Application,217,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/engine/facade/Scratch.cpp,Application,361,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/dsp/ScratchDeckBridge.hpp;src/qml/MappingEditorWindow.qml
src/engine/facade/Settings.cpp,Application,50,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/SettingsManager.cpp;src/audio/device/AudioDeviceService.cpp;src/qml/SettingsPanel.qml;src/qml/SettingsWindow.qml;src/qml/TopHeader.qml
src/engine/facade/Sync.cpp,Application,240,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/MixerDspSource.cpp;src/qml/FxUnit.qml;src/qml/Library.qml;src/qml/SettingsPanel.qml
src/engine/facade/Transport.cpp,Application,567,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/domain/TransportLimits.h;src/qml/DeckControl.qml
src/engine/scratch/ScratchController.cpp,Scratch,168,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/ScratchDeckBridge.hpp;src/engine/scratch/ScratchController.hpp;src/engine/scratch/ScratchSession.hpp
src/engine/scratch/ScratchController.hpp,Scratch,130,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/ScratchDeckBridge.hpp;src/engine/scratch/ScratchController.cpp;src/engine/scratch/ScratchSession.hpp
src/engine/scratch/ScratchSession.cpp,Scratch,102,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/scratch/ScratchSession.hpp
src/engine/scratch/ScratchSession.hpp,Scratch,72,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/scratch/ScratchSession.cpp
src/engine/scratch/VirtualTurntable.cpp,Scratch,60,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/ScratchDeckBridge.hpp;src/engine/scratch/VirtualTurntable.hpp
src/engine/scratch/VirtualTurntable.hpp,Scratch,62,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/ScratchDeckBridge.hpp;src/engine/scratch/VirtualTurntable.cpp
src/engine/sync/DeckSyncController.cpp,Sync,199,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/sync/DeckSyncController.h;src/engine/sync/SyncCoordinator.cpp;src/engine/sync/SyncCoordinator.h
src/engine/sync/DeckSyncController.h,Sync,46,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/sync/DeckSyncController.cpp;src/engine/sync/SyncCoordinator.cpp;src/engine/sync/SyncCoordinator.h
src/engine/sync/SyncCoordinator.cpp,Sync,204,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/Sync.cpp;src/engine/sync/SyncCoordinator.h
src/engine/sync/SyncCoordinator.h,Sync,56,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/Sync.cpp;src/engine/sync/SyncCoordinator.cpp
src/engine/sync/SyncTypes.h,Sync,108,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/sync/DeckSyncController.h
src/fx/BrickwallLimiter.cpp,Effects,402,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjMasterBus.h;src/fx/BrickwallLimiter.h
src/fx/BrickwallLimiter.h,Effects,147,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjMasterBus.h;src/fx/BrickwallLimiter.cpp
src/fx/FxManager.cpp,Effects,418,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/fx/FxManager.h
src/fx/FxManager.h,Effects,182,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/fx/FxManager.cpp
src/fx/FxProcessor.cpp,Effects,1778,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/dsp/MixerDspSource.cpp;src/engine/dsp/MixerDspSource.h;src/engine/facade/Diagnostics.cpp;src/engine/facade/FacadeIncludes.h;src/fx/FxManager.h;src/fx/FxProcessor.h
src/fx/FxProcessor.h,Effects,370,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/dsp/MixerDspSource.cpp;src/engine/dsp/MixerDspSource.h;src/engine/facade/Diagnostics.cpp;src/engine/facade/FacadeIncludes.h;src/fx/FxManager.h;src/fx/FxProcessor.cpp
src/fx/dsp/SsDelay.h,Effects,44,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/fx/FxProcessor.h
src/fx/dsp/SsLfo.h,Effects,77,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/fx/FxProcessor.h
src/fx/dsp/SvfSmoothed.h,Effects,104,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/fx/FxProcessor.cpp;src/fx/FxProcessor.h
src/io/MediaIoScheduler.cpp,Media I/O,541,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/io/MediaIoScheduler.h;src/library/LibraryCoverService.cpp;src/library/LibraryCoverService.h;src/library/LibraryManager.cpp;src/library/LibraryManager.h
src/io/MediaIoScheduler.h,Media I/O,154,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/io/MediaIoScheduler.cpp;src/library/LibraryCoverService.cpp;src/library/LibraryCoverService.h;src/library/LibraryManager.cpp;src/library/LibraryManager.h
src/library/CoverArtExtractor.cpp,Library,193,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/facade/FacadeIncludes.h;src/io/MediaIoScheduler.cpp;src/library/CoverArtExtractor.h
src/library/CoverArtExtractor.h,Library,27,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/facade/FacadeIncludes.h;src/io/MediaIoScheduler.cpp;src/library/CoverArtExtractor.cpp
src/library/CoverArtProvider.h,Library,83,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h;src/library/LibraryCoverService.cpp;src/library/LibraryCoverService.h
src/library/LibraryAnalysisManager.cpp,Library,213,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryAnalysisManager.h
src/library/LibraryAnalysisManager.h,Library,76,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryAnalysisManager.cpp
src/library/LibraryCoverService.cpp,Library,147,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h;src/library/LibraryCoverService.h
src/library/LibraryCoverService.h,Library,57,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h;src/library/LibraryCoverService.cpp
src/library/LibraryCueStore.cpp,Library,200,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/library/LibraryDatabase.cpp,Library,581,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h;src/library/LibraryAnalysisManager.cpp;src/library/LibraryAnalysisManager.h;src/library/LibraryCueStore.cpp;src/library/LibraryDatabase.h;src/library/LibraryPlaylistStore.cpp;src/library/LibrarySchema.cpp;src/library/LibraryTableModel.cpp;src/library/LibraryTableModel.h;src/library/LibraryTrackStore.cpp
src/library/LibraryDatabase.h,Library,288,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h;src/library/LibraryAnalysisManager.cpp;src/library/LibraryAnalysisManager.h;src/library/LibraryCueStore.cpp;src/library/LibraryDatabase.cpp;src/library/LibraryPlaylistStore.cpp;src/library/LibrarySchema.cpp;src/library/LibraryTableModel.cpp;src/library/LibraryTableModel.h;src/library/LibraryTrackStore.cpp
src/library/LibraryManager.cpp,Library,122,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryManager.h
src/library/LibraryManager.h,Library,56,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryManager.cpp
src/library/LibraryPlaylistStore.cpp,Library,1040,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/library/LibraryPreviewPlayer.cpp,Library,351,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryPreviewPlayer.h
src/library/LibraryPreviewPlayer.h,Library,84,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryPreviewPlayer.cpp
src/library/LibrarySchema.cpp,Library,361,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/library/LibraryTableModel.cpp,Library,655,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryDatabase.cpp;src/library/LibraryDatabase.h;src/library/LibraryTableModel.h;src/library/LibraryTrackStore.cpp
src/library/LibraryTableModel.h,Library,150,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/library/LibraryDatabase.cpp;src/library/LibraryDatabase.h;src/library/LibraryTableModel.cpp;src/library/LibraryTrackStore.cpp
src/library/LibraryTrackStore.cpp,Library,801,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/library/TrackIdGenerator.h,Library,36,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h
src/link/LinkManager.cpp,Sync,148,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/link/LinkManager.h
src/link/LinkManager.h,Sync,58,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/link/LinkManager.cpp
src/main.cpp,Application,20,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/CiSmokeTest.cpp;src/domain/TrackData.h;src/engine/dsp/ScratchResampler.cpp;src/fx/FxManager.h;src/fx/FxProcessor.h;src/link/LinkManager.cpp;src/midi/MidiParameterDispatch.cpp;src/qml/DeckControl.qml;src/qml/DeckTrackInfoPanel.qml;src/qml/Library.qml;src/rendering/WaveformEnvelopePass.cpp
src/midi/AlsaMidiOutput.cpp,Controller / MIDI / HID,206,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/DDJFLX10Controller.h;src/midi/AlsaMidiOutput.h;src/midi/MidiControllerManager.h;src/midi/MidiDeviceEnumeration.cpp
src/midi/AlsaMidiOutput.h,Controller / MIDI / HID,31,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/DDJFLX10Controller.h;src/midi/AlsaMidiOutput.cpp;src/midi/MidiControllerManager.h;src/midi/MidiDeviceEnumeration.cpp
src/midi/MidiControllerManager.cpp,Controller / MIDI / HID,162,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/midi/MidiControllerManager.h;src/midi/MidiControllerManagerInternal.h;src/midi/MidiDeviceEnumeration.cpp;src/midi/MidiFlx10Bridge.cpp;src/midi/MidiMappingLoader.cpp;src/midi/MidiParameterDispatch.cpp
src/midi/MidiControllerManager.h,Controller / MIDI / HID,254,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/midi/MidiControllerManager.cpp;src/midi/MidiControllerManagerInternal.h;src/midi/MidiDeviceEnumeration.cpp;src/midi/MidiFlx10Bridge.cpp;src/midi/MidiMappingLoader.cpp;src/midi/MidiParameterDispatch.cpp
src/midi/MidiControllerManagerInternal.h,Controller / MIDI / HID,480,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/midi/MidiControllerManager.cpp;src/midi/MidiDeviceEnumeration.cpp;src/midi/MidiFlx10Bridge.cpp;src/midi/MidiMappingLoader.cpp;src/midi/MidiParameterDispatch.cpp
src/midi/MidiDeviceEnumeration.cpp,Controller / MIDI / HID,849,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/midi/MidiFlx10Bridge.cpp,Controller / MIDI / HID,1326,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/midi/MidiMappingLoader.cpp,Controller / MIDI / HID,602,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/midi/MidiParameterDispatch.cpp,Controller / MIDI / HID,356,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/midi/MixerParameterBridge.cpp,Controller / MIDI / HID,80,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/app/MixerControl.h;src/midi/MidiFlx10Bridge.cpp;src/midi/MixerParameterBridge.h;src/qml/CrossfaderBar.qml
src/midi/MixerParameterBridge.h,Controller / MIDI / HID,28,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/app/MixerControl.h;src/midi/MidiFlx10Bridge.cpp;src/midi/MixerParameterBridge.cpp;src/qml/CrossfaderBar.qml
src/midi/ParameterStore.cpp,Controller / MIDI / HID,29,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/midi/MidiControllerManager.cpp;src/midi/MidiControllerManager.h;src/midi/MidiFlx10Bridge.cpp;src/midi/MidiParameterDispatch.cpp;src/midi/MixerParameterBridge.cpp;src/midi/MixerParameterBridge.h;src/midi/ParameterStore.h
src/midi/ParameterStore.h,Controller / MIDI / HID,23,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/midi/MidiControllerManager.cpp;src/midi/MidiControllerManager.h;src/midi/MidiFlx10Bridge.cpp;src/midi/MidiParameterDispatch.cpp;src/midi/MixerParameterBridge.cpp;src/midi/MixerParameterBridge.h;src/midi/ParameterStore.cpp
src/midi/feedback/MidiFeedbackController.cpp,Controller / MIDI / HID,420,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/midi/MidiControllerManager.h;src/midi/feedback/MidiFeedbackController.h
src/midi/feedback/MidiFeedbackController.h,Controller / MIDI / HID,96,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/midi/MidiControllerManager.h;src/midi/feedback/MidiFeedbackController.cpp
src/platform/PosixSignalHandler.cpp,Platform,204,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/platform/PosixSignalHandler.h
src/platform/PosixSignalHandler.h,Platform,37,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/platform/PosixSignalHandler.cpp
src/platform/windows/WindowsHeaderCompat.h,Platform,40,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/qml/AnalysisProgressBar.qml,QML UI,53,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/qml/BeatgridEditorPanel.qml,QML UI,223,INVESTIGATE,,Potentially overlapping product UI; retain until instantiation audit,medium,src/qml/EnlargedWaveform.qml
src/qml/Button.qml,QML UI,58,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/midi/MidiFlx10Bridge.cpp;src/qml/BeatgridEditorPanel.qml;src/qml/SettingsPanel.qml;src/qml/SettingsWindow.qml
src/qml/ComboBox.qml,QML UI,77,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/FxUnit.qml;src/qml/Library.qml;src/qml/SettingsPanel.qml;src/qml/SettingsWindow.qml
src/qml/CrossfaderBar.qml,QML UI,614,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/MixerControl.h;src/midi/MixerParameterBridge.cpp;src/qml/DevelopmentControlsWindow.qml;src/qml/performance/PerformanceWorkspace.qml
src/qml/DeckControl.qml,QML UI,1301,INVESTIGATE,,Potentially overlapping product UI; retain until instantiation audit,medium,src/qml/DevelopmentControlsWindow.qml;src/qml/performance/PerformanceWorkspace.qml
src/qml/DeckTrackInfoPanel.qml,QML UI,521,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/DeckControl.qml
src/qml/DevelopmentControlsWindow.qml,QML UI,177,INVESTIGATE,,Development surface; verify production reachability,low,src/qml/main.qml
src/qml/EnlargedWaveform.qml,QML UI,293,INVESTIGATE,,Potentially overlapping product UI; retain until instantiation audit,medium,src/qml/performance/PerformanceWaveformScreen.qml;src/qml/performance/PerformanceWorkspace.qml
src/qml/FxBar.qml,QML UI,198,INVESTIGATE,,Potentially overlapping product UI; retain until instantiation audit,medium,src/fx/FxManager.h;src/qml/DeckControl.qml;src/qml/DevelopmentControlsWindow.qml;src/qml/performance/PerformanceWorkspace.qml
src/qml/FxUnit.qml,QML UI,541,INVESTIGATE,,Potentially overlapping product UI; retain until instantiation audit,medium,src/qml/FxBar.qml
src/qml/Knob.qml,QML UI,155,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/FxBar.qml;src/qml/FxUnit.qml;src/qml/MixerSection.qml;src/qml/UiTheme.qml
src/qml/Library.qml,QML UI,6213,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/SettingsPanel.qml;src/qml/SettingsWindow.qml;src/qml/TopHeader.qml;src/qml/performance/PerformanceWorkspace.qml;src/qml/shell/StartupOverlay.qml
src/qml/MappingEditorWindow.qml,QML UI,484,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/SettingsPanel.qml;src/qml/SettingsWindow.qml
src/qml/MixerSection.qml,QML UI,647,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/DevelopmentControlsWindow.qml;src/qml/performance/PerformanceWorkspace.qml
src/qml/OverallWaveform.qml,QML UI,163,INVESTIGATE,,Potentially overlapping product UI; retain until instantiation audit,medium,
src/qml/PerformanceBeatFxPanel.qml,QML UI,147,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/performance/PerformanceWaveformScreen.qml
src/qml/PerformanceBeatgridPanel.qml,QML UI,108,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/performance/PerformanceWaveformScreen.qml
src/qml/PerformanceDeckQuickPanel.qml,QML UI,142,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/performance/PerformanceWaveformScreen.qml
src/qml/PerformancePads.qml,QML UI,529,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/DeckControl.qml
src/qml/SegmentBar.qml,QML UI,53,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/qml/SettingsPanel.qml,QML UI,1725,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/performance/PerformanceWorkspace.qml
src/qml/SettingsWindow.qml,QML UI,1662,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/TopHeader.qml
src/qml/Slider.qml,QML UI,135,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/CrossfaderBar.qml;src/qml/DeckControl.qml;src/qml/Library.qml;src/qml/MixerSection.qml
src/qml/TopHeader.qml,QML UI,1548,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/main.qml
src/qml/TurntableIndicator.qml,QML UI,167,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/controllers/flx10/Flx10DisplayProtocol.cpp;src/qml/PerformancePads.qml
src/qml/UiTheme.qml,QML UI,126,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/Button.qml;src/qml/CrossfaderBar.qml;src/qml/DeckControl.qml;src/qml/DevelopmentControlsWindow.qml;src/qml/EnlargedWaveform.qml;src/qml/FxBar.qml;src/qml/MixerSection.qml;src/qml/OverallWaveform.qml;src/qml/PerformancePads.qml;src/qml/Slider.qml;src/qml/TopHeader.qml;src/qml/main.qml;src/qml/performance/PerformanceWorkspace.qml;src/qml/shell/ExitOverlay.qml;src/qml/shell/StartupOverlay.qml
src/qml/WelcomeScreen.qml,QML UI,306,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/main.qml
src/qml/main.qml,QML UI,526,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/CiSmokeTest.cpp;src/domain/TrackData.h;src/engine/dsp/ScratchResampler.cpp;src/fx/FxManager.h;src/fx/FxProcessor.h;src/link/LinkManager.cpp;src/main.cpp;src/midi/MidiParameterDispatch.cpp;src/qml/DeckControl.qml;src/qml/DeckTrackInfoPanel.qml;src/qml/Library.qml;src/rendering/WaveformEnvelopePass.cpp
src/qml/performance/PerformanceWaveformScreen.qml,QML UI,151,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/performance/PerformanceWorkspace.qml
src/qml/performance/PerformanceWorkspace.qml,QML UI,311,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/main.qml
src/qml/shared/UiMetrics.qml,QML UI,40,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/DevelopmentControlsWindow.qml;src/qml/TopHeader.qml;src/qml/main.qml
src/qml/shared/UiShortcutManager.qml,QML UI,47,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/main.qml
src/qml/shell/ExitOverlay.qml,QML UI,175,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/main.qml
src/qml/shell/StartupOverlay.qml,QML UI,274,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/main.qml
src/qml/shell/StatusOverlay.qml,QML UI,164,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/main.qml
src/rendering/RgbWaveformItem.cpp,Waveform,597,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/DeckTrackInfoPanel.qml;src/qml/OverallWaveform.qml;src/rendering/RgbWaveformItem.h
src/rendering/RgbWaveformItem.h,Waveform,54,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/DeckTrackInfoPanel.qml;src/qml/OverallWaveform.qml;src/rendering/RgbWaveformItem.cpp
src/rendering/ScrollingWaveformItem.cpp,Waveform,714,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/EnlargedWaveform.qml;src/rendering/ScrollingWaveformItem.h
src/rendering/ScrollingWaveformItem.h,Waveform,77,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/qml/EnlargedWaveform.qml;src/rendering/ScrollingWaveformItem.cpp
src/rendering/WaveformAnalysisOrchestrator.cpp,Waveform,810,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/rendering/WaveformAnalyzer.cpp
